"Step","saturate_moe1Bsparse_15B - throughput/device/TPS","saturate_moe1Bsparse_15B - throughput/device/TPS__MIN","saturate_moe1Bsparse_15B - throughput/device/TPS__MAX","saturate_moe1Bolmo_15B - throughput/device/TPS","saturate_moe1Bolmo_15B - throughput/device/TPS__MIN","saturate_moe1Bolmo_15B - throughput/device/TPS__MAX","saturate_135M_15B_03 - throughput/device/TPS","saturate_135M_15B_03 - throughput/device/TPS__MIN","saturate_135M_15B_03 - throughput/device/TPS__MAX","saturate_271M_15_2_cont - throughput/device/TPS","saturate_271M_15_2_cont - throughput/device/TPS__MIN","saturate_271M_15_2_cont - throughput/device/TPS__MAX","saturate_271M_15B_2 - throughput/device/TPS","saturate_271M_15B_2 - throughput/device/TPS__MIN","saturate_271M_15B_2 - throughput/device/TPS__MAX"
"89","95067.2890625","95067.2890625","95067.2890625","51629.24609375","51629.24609375","51629.24609375","188742.078125","188742.078125","188742.078125","","","","96330.4765625","96330.4765625","96330.4765625"
"90","94963.6484375","94963.6484375","94963.6484375","51744.16796875","51744.16796875","51744.16796875","190562.65625","190562.65625","190562.65625","","","","96411.9375","96411.9375","96411.9375"
"91","94779.5546875","94779.5546875","94779.5546875","51556.7421875","51556.7421875","51556.7421875","188833.828125","188833.828125","188833.828125","","","","96061.3671875","96061.3671875","96061.3671875"
"92","95151.8828125","95151.8828125","95151.8828125","51587.0703125","51587.0703125","51587.0703125","189375.21875","189375.21875","189375.21875","","","","96189.2109375","96189.2109375","96189.2109375"
"93","95031.8203125","95031.8203125","95031.8203125","51557.859375","51557.859375","51557.859375","189396.53125","189396.53125","189396.53125","","","","96324.4453125","96324.4453125","96324.4453125"
"94","95693.140625","95693.140625","95693.140625","51444.36328125","51444.36328125","51444.36328125","189584.96875","189584.96875","189584.96875","","","","96084.4296875","96084.4296875","96084.4296875"
"95","95054.6015625","95054.6015625","95054.6015625","51503.59765625","51503.59765625","51503.59765625","189876.734375","189876.734375","189876.734375","","","","96468.671875","96468.671875","96468.671875"
"96","94777.6328125","94777.6328125","94777.6328125","51462.76171875","51462.76171875","51462.76171875","188758.609375","188758.609375","188758.609375","","","","95893.890625","95893.890625","95893.890625"
"97","95509.984375","95509.984375","95509.984375","51536.19140625","51536.19140625","51536.19140625","189640.21875","189640.21875","189640.21875","","","","96279.3984375","96279.3984375","96279.3984375"
"98","95563.5546875","95563.5546875","95563.5546875","51650.796875","51650.796875","51650.796875","191346.171875","191346.171875","191346.171875","","","","95791.9765625","95791.9765625","95791.9765625"
"99","95745.5","95745.5","95745.5","51748.76171875","51748.76171875","51748.76171875","189432.140625","189432.140625","189432.140625","","","","96438.1328125","96438.1328125","96438.1328125"
"100","41720.53515625","41720.53515625","41720.53515625","31328.1875","31328.1875","31328.1875","136881.265625","136881.265625","136881.265625","","","","59866.83984375","59866.83984375","59866.83984375"
"101","60735.1484375","60735.1484375","60735.1484375","44325.1171875","44325.1171875","44325.1171875","120174.328125","120174.328125","120174.328125","","","","63955.3515625","63955.3515625","63955.3515625"
"102","95428.1015625","95428.1015625","95428.1015625","51718.6171875","51718.6171875","51718.6171875","185993.25","185993.25","185993.25","","","","96512.796875","96512.796875","96512.796875"
"103","95704.1875","95704.1875","95704.1875","51641.31640625","51641.31640625","51641.31640625","189378.109375","189378.109375","189378.109375","","","","96276.9375","96276.9375","96276.9375"
"104","95333.0546875","95333.0546875","95333.0546875","51582.12890625","51582.12890625","51582.12890625","190013.59375","190013.59375","190013.59375","","","","96268.3671875","96268.3671875","96268.3671875"
"105","96620.4296875","96620.4296875","96620.4296875","51513.9140625","51513.9140625","51513.9140625","189750.4375","189750.4375","189750.4375","","","","95893.640625","95893.640625","95893.640625"
"106","94744.3125","94744.3125","94744.3125","51047.8125","51047.8125","51047.8125","189499.921875","189499.921875","189499.921875","","","","96173.78125","96173.78125","96173.78125"
"107","95288.9375","95288.9375","95288.9375","51508.90234375","51508.90234375","51508.90234375","190152.265625","190152.265625","190152.265625","","","","96103.609375","96103.609375","96103.609375"
"108","95330.953125","95330.953125","95330.953125","51437.36328125","51437.36328125","51437.36328125","190616.84375","190616.84375","190616.84375","","","","95929.703125","95929.703125","95929.703125"
"109","95493.234375","95493.234375","95493.234375","51454.4140625","51454.4140625","51454.4140625","188934.875","188934.875","188934.875","","","","96153.796875","96153.796875","96153.796875"
"110","95327.65625","95327.65625","95327.65625","50947.921875","50947.921875","50947.921875","190530.296875","190530.296875","190530.296875","","","","96199.859375","96199.859375","96199.859375"
"111","94745.6171875","94745.6171875","94745.6171875","51470.4921875","51470.4921875","51470.4921875","188996.734375","188996.734375","188996.734375","","","","95965.734375","95965.734375","95965.734375"
"112","95952.4453125","95952.4453125","95952.4453125","51530.19140625","51530.19140625","51530.19140625","189635.609375","189635.609375","189635.609375","","","","96155.515625","96155.515625","96155.515625"
"113","96046.8515625","96046.8515625","96046.8515625","51633.859375","51633.859375","51633.859375","190069.75","190069.75","190069.75","","","","96391.609375","96391.609375","96391.609375"
"114","95583.1484375","95583.1484375","95583.1484375","51557.05078125","51557.05078125","51557.05078125","189182.015625","189182.015625","189182.015625","","","","96277.1640625","96277.1640625","96277.1640625"
"115","95968.328125","95968.328125","95968.328125","51438.12890625","51438.12890625","51438.12890625","189476.359375","189476.359375","189476.359375","","","","95686.515625","95686.515625","95686.515625"
"116","95372.6015625","95372.6015625","95372.6015625","51463.20703125","51463.20703125","51463.20703125","189213.5625","189213.5625","189213.5625","","","","95963.4296875","95963.4296875","95963.4296875"
"117","95647.9609375","95647.9609375","95647.9609375","51429.21875","51429.21875","51429.21875","189591.71875","189591.71875","189591.71875","","","","96255.015625","96255.015625","96255.015625"
"118","95779.734375","95779.734375","95779.734375","51384.171875","51384.171875","51384.171875","189565.671875","189565.671875","189565.671875","","","","95824.3984375","95824.3984375","95824.3984375"
"119","95984.7578125","95984.7578125","95984.7578125","51428.90625","51428.90625","51428.90625","189634.3125","189634.3125","189634.3125","","","","96352.953125","96352.953125","96352.953125"
"120","95663.3203125","95663.3203125","95663.3203125","51391.1875","51391.1875","51391.1875","191426.609375","191426.609375","191426.609375","","","","96311.4765625","96311.4765625","96311.4765625"
"121","94743.6328125","94743.6328125","94743.6328125","51359.328125","51359.328125","51359.328125","187891.28125","187891.28125","187891.28125","","","","95616.2421875","95616.2421875","95616.2421875"
"122","95243.375","95243.375","95243.375","51380.4765625","51380.4765625","51380.4765625","189679.546875","189679.546875","189679.546875","","","","95797.84375","95797.84375","95797.84375"
"123","95768.578125","95768.578125","95768.578125","51376.53515625","51376.53515625","51376.53515625","190126.28125","190126.28125","190126.28125","","","","96240.9765625","96240.9765625","96240.9765625"
